Name of the bodies,Web URL / Social Link,Remarks
Tulsipur Sub-Metropolitan City,https://tulsipurmun.gov.np/en,Government
High Court Tulsipur,http://supremecourt.gov.np/court/tulsipurhc,Government
Food Technology & Quality Control Division Office,https://bit.ly/3uHG9sF,Government
Mega Dang Valley Irrigation Project,https://www.mdvip.gov.np/,Government
उच्च सरकारी वकील कार्यालय,https://ag.gov.np/office?code=hgao-tulsipur,Government
Department of Land Management and Archive,http://tulsipur.dolrm.gov.np/office/91,Government
Rapti Zonal Hospital,http://5.9.167.97/hi/10203903,Hospital
Tulsi Hospital,https://tulsihospitalnepal.com/,Hospital
Tulsipur City Hospital,https://www.facebook.com/city.hosp/,Hospital
Palpali Medical Hall,https://palpali-surgical-house.business.site/,Hospital
Chinari Hospital,https://www.facebook.com/Chinari-Hospital-Tulsipur-343577796146403/,Hospital
Dangisaran Polyclinic,https://www.facebook.com/Dangisharan-polyclinic-tulsipur-5-new-buspark-104888697770458/,Hospital
Rapti Lifecare Hospital,http://raptilifecare.com/,Hospital
Rauniyar Dental Clinic,https://www.facebook.com/rauniyardental/,Hospital
Kanchan Ayurveda Clinic,https://www.facebook.com/Kanchan-ayurved-clinic-tulsipur-dang-106105590901458/,Hospital
Nepal Netra Jyoti Sangh,http://raptieyehospital.org/,Hospital
Sworgadwari Dental Hospital,https://www.facebook.com/swargadwaridental/,Hospital
BR Dental Hospital,https://br-dental-hospital.business.site/,Hospital
उरहरी सिटी मेडिकल,https://bit.ly/3y46R0I,Hospital
Dirgayu Polyclinic and Research Center,http://dirghayuclinic.com/,Hospital
Tulsipur Online,https://tulsipuronline.com/,Media
Tuslipur Directory,https://tulsipuronline.com/directory/,Media
Mero Tulsipur,https://www.merotulsipur.com/,Media
Tulsipur Khabar,http://www.tulsipurkhabar.com,Media
Radion Hamro Pahunch,https://hamropahunch.org.np/,Media
"Dalit NGO Co-Ordination Commitee, Dang",http://dnfnepal.org/,NGO/INGO
Green Foundation Nepal - Dang,http://greenfoundationnepal.com,NGO/INGO
Backward Society Education,https://nepalbase.org,NGO/INGO
Ebps Tulsipur,http://ebps.tulsipurmun.gov.np/,NGO/INGO
Society for Enviroment Education Development,https://www.seeddang.org.np/,NGO/INGO
Premsen Charitable Trust,https://www.facebook.com/Premsen-Charitable-Trust-1946285968734909/,NGO/INGO
Rotaract Club of Tulsipur,https://www.facebook.com/Rotaract-Club-Of-Tulsipur-997341607037798/,NGO/INGO
Lions Club of Tulsipur Ishan,https://www.facebook.com/tulsipur.ishan/,NGO/INGO
Tulsipur Chamber of Commerce and Industry,https://tulsipurcci.org.np/,Private Organization
RaptiHosting,https://raptihosting.com/,Private Organization
Tulsipur Multi Agro,https://www.facebook.com/tulsipurAgro/,Private Organization
Unnat Agriculture Co-operative Ltd,https://www.facebook.com/Unnat-Agriculture-Co-operative-Ltd-1074575046028243/,Private Organization
Rapti Babai Multiple Campus,http://rbcdang.edu.np/,School/University
Gorkha Secondary School,https://www.gsstulsipur.edu.np/,School/University
Nepal Sanskrit University,https://nsu.edu.np/,School/University
Rapti Academy of Health Sciences,http://rahs.edu.np/,School/University
Tulsipur Metro College,http://tulsipurmetrocollege.edu.np/,School/University
Mid-west Academy And Research Institute,http://mari.edu.np/,School/University
Himal Academy,http://himalacademy.yolasite.com/,School/University
Tulsi Boarding Secondary School,https://www.facebook.com/TulsiSchool/,School/University
Public Gyan Jyoti Higher Secondary School,,School/University
Gyan Deep College,https://www.facebook.com/gyandeepcollege/,School/University
Dang Valley English Boarding School,https://www.facebook.com/Dang.Valley.EBS/,School/University
Divine Temple Academy,,School/University
Chandrodaya Vidya Kunj Boarding School,https://www.facebook.com/ChandrodayaVidyaKunja/?ref=py_c,School/University
Mahendra Higher Secondary School,https://www.facebook.com/Mahendra-Higher-Secondary-School-TulsipurDang-1311021002246295/,School/University
SANSKAR PATHSHALA DANG,https://www.facebook.com/sanskarpathshala123/,School/University
Ideal English Medium Secondary Boarding,https://www.facebook.com/IDEALDANG,School/University
Jeevan Premi Educare School,https://www.facebook.com/Jeevan-Premi-Educare-Academy-340572222812431/,School/University
Nepal Sanskrit University,https://nsu.edu.np/,School/University
New Shanti,https://www.facebook.com/Newshanti9847885568/,School/University
Star English Boarding School,https://www.facebook.com/Star-English-Boarding-Secondary-School-Ghorahi-14Dang-104752794381392/,School/University
Srijana Balvatika Boarding School,https://www.facebook.com/Srijana-Balvatika-English-Boarding-School-Bijauri-Dang-931096726917242/?ref=page_internal,School/University
Janta Secondary School,https://www.facebook.com/janataschoolgadhawa/,School/University
Public Gyan jyoti Higher Secondary school,,School/University
Amar English Boarding School,https://www.facebook.com/officialpageofamarschool/,School/University
Gyan Jyoti Primary School,https://www.facebook.com/Gyanjyoti-Educational-Academy-Ghorahi-13Dang-108113117359827/,School/University
"Bal Miteri High School, Bhojpur Dang, Nepal",https://balmiteri.edu.np/,School/University
Shanti Deep E.B. School,https://www.facebook.com/Shantideep07/,School/University
Adarsh Academy English Medium School,,School/University
valley star secondary school,https://www.facebook.com/Star-English-Boarding-Secondary-School-Ghorahi-14Dang-104752794381392/,School/University
दीपेन्द्र माध्यमिक विद्यालय मानपुर,https://www.facebook.com/Deependrasecondaryschool/,School/University
Himalaya English Boarding School,https://www.facebook.com/Himalaya-English-School-Hekuli-Dang-865266653515262/,School/University