English,Nepali
Abiotic,Abiotic
Abortive,Abortive
Abrasion,घर्षण
Abscess,विद्रधि
Aches & Pain,दुखाइ र दुखाइ
Acne,मुखासे
Acupressure,एक्यूप्रेशर
Acupunture,Acupunture
Acute,तीव्र
Acute Respiratory Stress Syndrome (ARDS),तीव्र श्वसन तनाव सिंड्रोम (ARDS)
Addiction,लत
Adernaline,Adernaline
Aerobic,एरोबिक
Airborne,ड्रम
Alzheimer's,अल्जाइमरको
Ambulatory,हिड
Amnesia,स्मृति लोप
Anaerobic,Anaerobic
Anemia,रक्तअल्पता
Anesthesia,एनेस्थेसिया
Angina,एनजाइना
Antibiotics,एन्टिबायोटिक
Antibodies,एंटीबडी
Antidepressent,Antidepressent
Antigen,प्रतिजन
antiinflammatory,antiinflammatory
antimicrobial,रोगाणुरोधी
Antinuclear Antibody Test,Antinuclear एंटीबडी परीक्षण
Antiobiotic Resistance,Antiobiotic प्रतिरोध
Antioxident,Antioxident
Antiviral,Antiviral
Anxiety,फिक्री
Aortic dissection,Aortic dissection
arthritis,गठिया
Aspirin,एस्पिरिन
Asthma,अस्थमा
Asymptomatic,Asymptomatic
Athlete’s foot,खेलाडी गरेको खुट्टा
Atrial fibrillation,आलिन्द fibrillation
Autoimmune Disease,autoimmune रोग
Autonomic Nervous System,Autonomic स्नायु प्रणाली
Autopsy,शव परीक्षा
Avoid Touching,जोगिन छोएर
Avoid Travel,यात्रा जोगिन
Bat-Borne Virus,ब्याट-Borne भाइरस
Benign,सौम्य
Biopsy,बायोप्सी
BiPAP Machine,BiPAP मिसिन
Blood culture,रगत संस्कृति
Blood gas,रगत ग्याँस
Blood Pressure,रक्तचाप
Blood swab,रगत swab
Blood Vessel,रक्त वाहिनी
Blood Vessels,रक्त नली
Botox,बोटक्स
Bowel disimpaction,आंत्र disimpaction
Brain Imaging,मस्तिष्क इमेजिङ
C-section,सी-खण्ड
Calcium,क्यालसियम
Calorie,क्यालोरी
Cancer,क्यान्सर
Carbohydrate,कार्बोहाइड्रेट
cardiac,हृदय
Cardiac Arrest,हृदयघात
cardiological,cardiological
cardiorespiratory,cardiorespiratory
cardiovascular,हृदय
Cardiovascular Complications,हृदय जटिलताहरू
Cardiovascular System,हृदय प्रणाली
Cartilage,उपास्थि
Case fatality rate,मामला fatality दर
Case fatality rate (CFR),मामला fatality दर (CFR)
Case Management,मामला व्यवस्थापन
CAT Scan,कैट स्क्यान
catabolism,catabolism
Cataract,Cataract
Cavity,गुहा
Center for Disease Control,Center for Disease Control
Central line,केन्द्रीय लाइन
Cerebrovascular Accident (CVA),Cerebrovascular दुर्घटना (CVA)
Chemotherapy,केमोथेरापी
Chest CT,छाती सीटी
Chloroquine,क्लोरोक्वाइन
Cholesterol,कोलेस्ट्रोल
Chromosome,क्रोमोजोम
Cirrhosis,Cirrhosis
Clinical trial,प्रयोगसाला परिक्षण
Close contact,नजिकको सम्पर्क
Cluster,क्लस्टर
Cognitive Behavioral Therapy,संज्ञानात्मक बिहेविअरल चिकित्सा
Colon,पेट
Colonoscopy,Colonoscopy
Coma,coma
Communicable,Communicable
Communicate Challenges,चुनौतीहरू सञ्चार
Community Spread,सामुदायीक संक्रमण
Community transmission/spread,सामुदायिक प्रसारण / प्रसार
Complete Blood Count,रक्त गणना पूरा
Compression,सङ्कुचन
Confirmed case,पुष्टि मामला
Confirmed Positive Case,पुष्टि सकारात्मक प्रकरण
Congestion,भीड
Congregate settings,भेला सेटिङहरू
Conspiracy Theorists,षडयन्त्र सिद्धान्तकारहरु
Contact Dermatitis,सम्पर्क Dermatitis
Contact tracing,सम्पर्क ट्रेसिङ
Contagion,Contagion
Contagious,संक्रामण
Containment Area,रोकथाम क्षेत्र
Contaminated Objects,दूषित वस्तु
Contusion,contusion
Coronary Artery Bypass Graft(CABG),कोरोनरी धमनी बाइपास घूस (CABG)
Coronavirus,कोरोनाभाइरस
Cortisone Injection,Cortisone इंजेक्शन
Cough,खोकी
Covid-19,कोभिड -19
Covid-19 Patients,Covid-19 विरामीहरु
Creatinine Blood Test,Creatinine रक्त परीक्षण
Crisis,संकट
Cyanosis,Cyanosis
Cyst,सानो ट्युमर
Cytokine,Cytokine
Cytokine Storm,Cytokine तूफान
Dandruff,Dandruff
Decontaminated,Decontaminated
Degenerative Disease,Degenerative रोग
Dementia,पागलपन
Dental Implant,दन्त प्रत्यारोपण
Depression,अवसाद
Diabetes,मधुमेह
Diagnose,निदान
Diagnosis,निदान
Dialysis,Dialysis
Diarrhoea,पखाला
Disease Outbreak,रोग फैलिनु
Disinfect,कीटाणुरहित
Dislocation,Dislocation
District Hospital,जिल्ला अस्पताल
DNA,डीएनए
Dopamine,Dopamine
Drive through testing,ड्राइभ परीक्षण मार्फत
Droplet Transmission,सानो थोपा ट्रान्समिसन
Droplet transmission/spread,सानो थोपा प्रसारण / प्रसार
Dry Cough,सुक्खा खोकी
Dry Eye,सुक्खा आँखा
Ecology,पारिस्थितिकी
Edema,edema
Egg Cell,अन्डा सेल
Elderly People,ज्येष्ठ नागरिक
Elective surgeries,ऐच्छिक सर्जरी
Electrolytes,Electrolytes
Embolus,Embolus
Encephalitis,Encephalitis
Enclosed Spaces,संलग्न रिक्त स्थान
Endemic,Endemic
Endorphins,Endorphins
Endoscope,Endoscope
Endothelial Cells,endothelial कक्षहरू
Enzyme,इन्जाइम
Epidemic,महामारी
Epidemiological,Epidemiological
Epidemiologists,Epidemiologists
Epidemiology,महामारी
Epidural,Epidural
Ergonomics,Ergonomics
Essential activities,आवश्यक गतिविधिहरु
Essential Business,अत्यावश्यक व्यवसाय
Estrogen,एस्ट्रोजन
Etiology,Etiology
Exacerbation,Exacerbation
Exercise,व्यायाम
Exoskeleton,Exoskeleton
Eyesight,दृष्टि
Facility Closures,सुविधा Closures
False Negative,झूटा नकारात्मक
Fatigue,थकान
Fertilized Egg,Fertilized अन्डा
Fever,ज्वरो
Flatten The Curve,समतल वक्र
Flattening the curve,वक्र सपाट
Fluoroscope,Fluoroscope
Foley,फोले
Fomite,Fomite
Foreign Employment,विदेशी रोजगार
Fracture,भंग
Fungi,Fungi
Gastrointentinal Tract,Gastrointentinal पर्चा
Gastrointestinal Organs,जठरांत्रिय अंगहरु
Gene,जीन
Genetic Sequence,आनुवंशिक अनुक्रम
Genetics,जेनेटिक्स
Germ,रोगाणु
Glandular Cells,ग्रन्थि कक्षहरू
Goiter,Goiter
Graves' Disease,चिहानहरू 'रोग
Hand Hygiene,हात स्वच्छता
Hand Sanitizer,ह्यान्ड स्यानीटाइजर
Hand-washing,हात धुने
Hay Fever,घास ज्वरो
Headache,टाउको दुखाइ
Health Desks,स्वास्थ्य डेस्क
Health Infrastructure,स्वास्थ्य पूर्वाधार
Health Ministry,स्वास्थ्य मन्त्रालय
Health Professional,स्वास्थ्य व्यावसायिक
Healthcare Provider,स्वास्थ्य सेवा प्रदायक
Healthy People,स्वस्थ मान्छे
Hematemesis,Hematemesis
Hemoglobin,हेमोग्लोबिन
Hemorrhage,रक्तस्राव
Herd Immunity,बथानलाई प्रतिरक्षण
Higher Risk,उच्च जोखिम
Home isolation,घरमा आइसोलेसन
Host,पाहुना
Hotspot,हटस्पट
Human Body,मानव शरीर
Human Cells,मानव कक्षहरू
Hydroxychloroquine,Hydroxychloroquine
Hypertension,उच्च रक्तचाप
Hypotension,Hypotension
Hysterectomy,Hysterectomy
Idiopathic,Idiopathic
Immunity,प्रतिरक्षा
Immunization,खोप
Immunocompromised,Immunocompromised
Immunology,प्रतिरक्षा विज्ञान
Incubation period,इन्कुबेसन समय
Infection,संक्रमण
infection fatality rate,संक्रमण fatality दर
Infectious,संक्रामक
Infectious Disease,संक्रामक रोग
Influenza,इन्फ्लूएंजा
Inpatinet,Inpatinet
Intensive Care Unit (ICU),गहन हेरविचार एकाइ (ICU)
Intensivist:,Intensivist:
Interferon,इंटरफेरन
International Flight,अन्तर्राष्ट्रिय उडान
Intractable,Intractable
Intravenous,नसों
Intubation,इंटुबैषेण
Ischemia,ischemia
Isolation,आइसोलेसन
Isolation Center,अलग केन्द्र
Laboratory,प्रयोगशाला
Lactase,Lactase
Lactose,Lactose
Lactose Intolerance,Lactose घृणाको
Lap Band Surgery(Gastric Banding),काखमा ब्यान्ड सर्जरी (गैस्ट्रिक ब्यान्डिङ)
Laparotomy,Laparotomy
Latent Infection,Latent संक्रमण
Lipid,लिपिड
Liver Blood Tests,कलेजो रक्त टेस्ट
Local Transmission,स्थानीय ट्रान्समिसन
Lockdown,लकडाउन
Lumbar puncture,कटि प्वाल पार्ने काम
Malignant,घातक
malnutrition,कुपोषण
Measles,चेचक
Medications,दबाइहरु
Medicine,औषधी
Meningeal Infection,Meningeal संक्रमण
Menopause,रजोनिवृत्ति
Mental Depression,मानसिक अवसाद
Metabolism,चयापचय
metastasis,मेटास्टेसिस
Microbe,Microbe
Microbiology,जीवाणुतत्व
Migraine,माइग्रेन
Mild Symptoms,हल्का लक्षण
mindfulness,mindfulness
"Ministry of Culture, Tourism, and Civil Aviation","संस्कृति, पर्यटन मन्त्रालय र नागरिक उड्डयन"
Misinformation,गलत
Mitigation,निवारण
Mortality Rate,मृत्यु दर
MRI Scan,एमआरआई स्क्यान
Multi-organ Failure,बहु-अंग विफलता
Mutation,उत्परिवर्तन
Myocardial infarction,Myocardial infarction
N95 Mask,N95 मास्क
N95 respirator (face mask),N95 respirator (अनुहार मास्क)
Nasal Swab,नाक Swab
Nasopharyngeal swab,Nasopharyngeal swab
National emergency,आपतकालीन राष्ट्रिय
National Public Health Laboratory,राष्ट्रिय सार्वजनिक स्वास्थ्य प्रयोगशाला
Natural Selection,प्राकृतिक छनौट
Negative-pressure rooms,नकारात्मक-दबाव कोठा
Neurologic,Neurologic
Neurology,स्नायु विज्ञान
Nocte,Nocte
Non-specific Symptoms,गैर-विशेष लक्षण
Normal sinus rhythm,सामान्य प्वाल ताल
Novel Coronavirus,नोभल कोरोना भाइरस
obesity,मोटोपना
Observation,अवलोकन
ophthalmologist,नेत्र रोग विशेषज्ञ
optician,चश्मा बनाउने व्यक्ति
Oral Health,मौखिक स्वास्थ्य
Oropharyngeal swab,Oropharyngeal swab
Outbreak,फैलिने
Outpatient,Outpatient
Overcrowding Hospitals,भीडभाड अस्पताल
ovulation,ovulation
Pandemic,माहामारी
Parasitism,पराश्रयिता
Pathology,विकृति
Patient Zero,रोगी शून्य
Patients Diagnosed,विरामीहरु निदान
PCR test,PCR परीक्षण
PCR Testing,PCR परीक्षण
Pericardial effusion,Pericardial effusion
Person under investigation (PUI),छानबिन अन्तर्गत व्यक्ति (PUI)
Person-to-person Spread,व्यक्ति-व्यक्ति स्प्रेड
Person-to-person transmission,व्यक्ति-व्यक्ति प्रसारण
Personal Protective Equipment (PPE),व्यक्तिगत सुरक्षात्मक उपकरण (PPE)
placebo,placebo
Plasmid,Plasmid
Polymerase Chain Reaction (PCR),Polymerase दल प्रतिक्रिया (PCR)
Positive Case,सकारात्मक प्रकरण
Postpone,स्थगित
PPE,PPE
Pre-symptomatic,पूर्व-symptomatic
Precautions,सावधानी
Pregnancy,गर्भावस्था
Presumptive Cases,Presumptive मामला
Presumptive positive case,Presumptive सकारात्मक मामला
Preventive Measures,रोकथामका उपायहरू
Protective Bubble,सुरक्षा बबल
Protein,प्रोटिन
Province Hospital,प्रान्त अस्पताल
Puls/ox,Puls / गोरु
Pulse,नाडी
Quarantine,क्वारेन्टिन
R0 / reproductive rate,R0 / प्रजनन दर
radiation,विकिरण
Rapid Diagnostic Test (RDT),तीव्र निदान परिक्षण (RDT)
RDT Testing,RDT परीक्षण
Readiness for Detection,पत्ता लगाउने लागि तत्परता
Readiness for Response,प्रतिक्रिया लागि तत्परता
Readmitted Case,Readmitted प्रकरण
Recovered Cases,बरामद मामला
recovery,रिकभरी
Referred pain,बताईएको दुखाइ
Rehumatic Fever,Rehumatic ज्वरो
relapse,कमजोरीको वशमा पऱ्यौं
Remdesivir,Remdesivir
Remission,छूट
Replication,प्रतिकृति
Reproduction,प्रजनन
Respirator:,Respirator:
Respiratory Droplets,श्वसन थोपाहरूद्वारा
Respiratory Infection,श्वसन संक्रमण
Runny Nose,नाक बाट पानी बग्नु
Safety Guidelines,सुरक्षा दिशानिर्देश
Sanitizer,प्रक्षालक
SARS-CoV-2,SARS-CoV-2
Sars-cov2,SARS-CoV-2
Schizophrenia,पागलपन
Screening,स्क्रीनिंग
sedative,बेहोशि औषधि
seizure,जफती
Self-isolation,स्वतः आइसोलेसन
Self-quarantine,स्वतः क्वारेन्टिन
Senior Health,वरिष्ठ स्वास्थ्य
Sepsis,Sepsis
Septic Shock,सेप्टिक शक
Serology test,Serology परीक्षण
Seroprevalence,Seroprevalence
Severe Acute Respiratory Syndrome (SARS),गंभीर तीव्र श्वसन सिंड्रोम (सार्स)
Sexual Health,यौन स्वास्थ्य
Shelter in place,ठाउँमा आश्रय
Shortness Breath,Shortness सांस
Shortness Of Breath,Shortness सांस को
Skin Lesion,छाला Lesion
sleep paralysis,निद्रामा पक्षाघात
Small Droplets,सानो थोपाहरूद्वारा
Sneeze,हाच्छिउं गर्नु
Sneezing,Sneezing
Soap,साबुन
Social distancing,सामाजिक दुरी
South Asia,दक्षिण एशिया
Spanish Flu,स्पेनी फ्लू
Species,प्रजाति
Sperm Cell,शुक्राणु सेल
Staph Infection,Staph संक्रमण
Staying Indoors,घर भित्रका रहन
Sterilization,बंध्यकरण
Sternotomy,Sternotomy
Stethoscope,स्टेथोस्कोप
Stimulus,उत्तेजना
Strain,तनाव
Strep Throat,Strep गला
stroke,झड्का
Subcutaneous,उपचर्म
Sublingual,Sublingual
substance abuse,पदार्थ दुरुपयोग
Sukraraj Tropical And Infectious Disease Hospital,Sukraraj ट्रपिकल अनि संक्रामक रोग अस्पताल
Super-spreader,सुपर स्प्रेडर
Surgical Masks,सर्जिकल मास्क
Suspicion,शङ्काको
Symptom,लक्षण
Symptomatic,Symptomatic
Syndrome,सिंड्रोम
Telecommuting,Telecommuting
Temporary Hospital,अस्थायी अस्पताल
Tension pneumothorax,तनाव pneumothorax
Test Kit,परीक्षण किट
Testing Kit,परीक्षण किट
Testing Protocols,परीक्षण प्रोटोकल
testosterone,टेस्टोस्टेरोन
Thermal Scanners,थर्मल स्क्यानर
Thoracotomy,Thoracotomy
Throat,घाँटी
Thrombosis,घनास्त्रता
Thyroid,थाइरोइड
Thyroid Blood Tests,थाइरोइड रक्त टेस्ट
Tissue,ऊतक
Tissue Culture,ऊतक संस्कृति
Tonsil,किलकिले
Tox screen,Tox स्क्रिन
Toxin,टोक्सिन
Transmission,ट्रान्समिसन
transplantation,transplantation
Travel Restrictions,यात्रामा रोक
Treatment,उपचार
Tuberculosis Skin Test (PPD Skin Test),क्षयरोग छाला परीक्षण (PPD छाला टेस्ट)
Tumor,ट्यूमर
ulcer,अल्सर
Ultrasound,अल्ट्रासाउंड
Undergoing Treatment,भइरहेको उपचार
urologist,उरोलोजस्त
Urology,Urology
Vaccine,टीका
Venipuncture,Venipuncture
Ventilator,Ventilator
Viral shedding,भाइरल बहाउन
Virtual Learning,भर्चुअल प्रशिक्षण
Virus,भाइरस
Vomiting,उल्टी
Warm Weather,न्यानो मौसम
White Blood Cell,सेतो रक्त सेल
withdrawal,निकासी
Working From Home,बाट घर काम
Workplace Hazard Controls,कार्यस्थल खतरा नियन्त्रण
World Health Organization,विश्व स्वास्थ्य संस्था
World Health Organization (WHO),विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ)
"Wuhan, China","वुहान, चीन"
Zoonotic Disease,क्षेत्रातिक रोग